"name","yearpublished","minplayers","maxplayers","minplaytime","maxplaytime","minage","languagedependence","average","numwanting","numcomments","numplays","numplays_month","news","blogs","podcast","boardgamedesigner_cnt","boardgamepublisher_cnt","boardgamehonor_cnt","desc_word_count","dif_players","main_category","difficulty"
"Gloomhaven",2017,1,4,60,120,12,4,8.85292,1365,5972,230213,3478,7,471,139,1,9,23,269,3,"Adventure","Complex"
"Pandemic Legacy  Season 1",2015,2,4,60,60,13,4,8.62499,771,5477,196621,1090,9,597,164,2,11,20,328,2,"Other","Complex"
"Terraforming Mars",2016,1,5,120,120,12,3,8.42299,2068,7274,245997,4380,14,1158,148,1,20,20,462,4,"Economic","Complex"
"Through the Ages  A New Story of Civilization",2015,2,4,120,120,14,4,8.49419,1049,2660,54284,511,5,185,42,1,13,3,273,2,"Card Game","Complex"
"Brass  Birmingham",2018,2,4,60,120,14,1,8.62031,1077,1702,23336,815,3,124,21,3,8,6,492,2,"Economic","Complex"
"Twilight Imperium (Fourth Edition)",2017,3,6,240,480,14,4,8.68965,850,1515,13303,299,2,67,44,3,10,2,448,3,"Economic","Complex"
"Twilight Struggle",2005,2,2,120,180,13,4,8.31307,1341,8095,95106,291,2,323,82,2,12,13,523,0,"Wargame","Complex"
"Star Wars  Rebellion",2016,2,4,180,240,14,4,8.42602,1367,3037,28271,284,1,204,65,1,9,12,402,2,"Fighting","Complex"
"Gaia Project",2017,1,4,60,150,12,1,8.50686,1349,1744,37226,560,3,133,27,2,13,10,155,3,"Economic","Complex"
"Scythe",2016,1,5,90,115,14,3,8.26056,1877,7197,151857,1589,4,876,163,1,15,23,374,4,"Economic","Complex"
"Great Western Trail",2016,2,4,75,150,12,1,8.28272,1682,3124,71897,677,6,352,70,1,17,18,143,2,"Animals","Complex"
"War of the Ring (Second Edition)",2012,2,4,150,180,13,4,8.44938,1134,2120,16128,110,5,134,28,3,10,0,342,2,"Adventure","Complex"
"Spirit Island",2017,1,4,90,120,13,4,8.32434,1577,2873,63992,1317,2,198,62,1,9,10,429,3,"Fantasy","Complex"
"Terra Mystica",2012,2,5,60,150,12,1,8.17255,1686,5337,103974,439,10,451,80,2,15,22,270,3,"Economic","Complex"
"The Castles of Burgundy",2011,2,4,30,90,12,1,8.12741,1062,7034,170044,1071,11,599,89,1,8,10,460,2,"Dice","Complex"
"7 Wonders Duel",2015,2,2,30,30,10,1,8.10825,906,6613,175855,1597,6,488,92,2,13,16,303,0,"Card Game","Simple"
"The 7th Continent",2017,1,4,5,1000,14,4,8.36074,1280,2949,41182,520,4,227,77,2,2,12,177,3,"Adventure","Complex"
"Concordia",2013,2,5,100,100,13,3,8.11021,1588,3869,75888,563,5,401,56,1,14,7,307,3,"Economic","Complex"
"Brass  Lancashire",2007,2,4,60,120,14,1,8.14857,902,3921,52461,276,6,182,46,1,14,7,475,2,"Economic","Complex"
"Viticulture Essential Edition",2015,1,6,45,90,13,3,8.1167,1444,3065,63191,837,1,246,37,3,10,0,278,5,"Economic","Complex"
"Arkham Horror  The Card Game",2016,1,2,60,120,14,4,8.19296,742,3386,110317,1227,2,292,94,2,10,13,303,1,"Adventure","Complex"
"Puerto Rico",2002,3,5,90,150,12,3,8.02082,1004,11515,155923,272,6,413,52,1,12,18,435,2,"Economic","Complex"
"A Feast for Odin",2016,1,4,30,120,12,3,8.18223,1603,2157,41658,465,4,364,49,1,12,6,214,3,"Economic","Complex"
"Mage Knight Board Game",2011,1,4,60,240,14,4,8.10013,1172,5163,57915,229,8,313,67,1,8,8,126,3,"Adventure","Complex"
"Orl\u00e9ans",2014,2,4,90,90,12,1,8.08174,1321,2785,52610,398,4,357,62,1,13,13,164,2,"Medieval","Complex"
"Caverna  The Cave Farmers",2013,1,7,30,210,12,3,8.0456,1730,4143,54235,205,6,426,49,1,16,6,333,6,"Animals","Complex"
"Wingspan",2019,1,5,40,70,10,4,8.10343,1495,3274,103636,5694,6,226,50,1,17,5,134,4,"Animals","Simple"
"Food Chain Magnate",2015,2,5,120,240,14,2,8.17751,1487,2097,27204,355,4,156,54,2,4,10,206,3,"Economic","Complex"
